,DATA,ESTACAO,SVID,S4,ZERO,AZ,EL,ROTI,TEC_R,S_N,DPR,DPC,MIN
224 0.014 0000  300  85 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),224,14,0,300,85,0.00,0.1,0.0,0.0,0.0,0
226 0.800 0000   50  19 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),226,800,0,50,19,0.00,0.1,0.0,0.0,0.0,0
10 0.019 0000  249  60 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),10,19,0,249,60,0.00,0.1,0.0,0.0,0.0,0
15 0.060 0000  138  10 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),15,60,0,138,10,0.00,0.1,0.0,0.0,0.0,0
16 0.046 0000  252  29 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),16,46,0,252,29,0.00,0.1,0.0,0.0,0.0,0
18 0.000 0000  142  34 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),18,0,0,142,34,0.00,0.1,0.0,0.0,0.0,0
23 0.000 0000  172  47 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),23,0,0,172,47,0.00,0.1,0.0,0.0,0.0,0
25 0.707 0000   21   1 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),25,707,0,21,1,0.00,0.1,0.0,0.0,0.0,0
26 0.061 0000  294  33 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),26,61,0,294,33,0.00,0.1,0.0,0.0,0.0,0
27 0.039 0000  215  17 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),27,39,0,215,17,0.00,0.1,0.0,0.0,0.0,0
28 0.000 0000  344   3 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),28,0,0,344,3,0.00,0.1,0.0,0.0,0.0,0
29 0.030 0000   52  32 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),29,30,0,52,32,0.00,0.1,0.0,0.0,0.0,0
32 0.035 0000  359  36 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),32,35,0,359,36,0.00,0.1,0.0,0.0,0.0,0
38 0.351 0000  338   3 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),38,351,0,338,3,0.00,0.1,0.0,0.0,0.0,0
43 0.059 0000  153   7 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),43,59,0,153,7,0.00,0.1,0.0,0.0,0.0,0
44 0.000 0000  130  64 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),44,0,0,130,64,0.00,0.1,0.0,0.0,0.0,0
45 0.017 0000  354  53 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),45,17,0,354,53,0.00,0.1,0.0,0.0,0.0,0
48 0.175 0000  339  10 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),48,175,0,339,10,0.00,0.1,0.0,0.0,0.0,0
49 0.086 0000  284  18 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),49,86,0,284,18,0.00,0.1,0.0,0.0,0.0,0
50 0.048 0000  241   6 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),50,48,0,241,6,0.00,0.1,0.0,0.0,0.0,0
58 0.017 0000  104  25 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),58,17,0,104,25,0.00,0.1,0.0,0.0,0.0,0
59 0.031 0000  175  32 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),59,31,0,175,32,0.00,0.1,0.0,0.0,0.0,0
60 0.065 0000  212  10 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),60,65,0,212,10,0.00,0.1,0.0,0.0,0.0,0
72 0.032 0000  276  47 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),72,32,0,276,47,0.00,0.1,0.0,0.0,0.0,0
73 0.120 0000  343   8 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),73,120,0,343,8,0.00,0.1,0.0,0.0,0.0,0
74 0.111 0000  137   5 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),74,111,0,137,5,0.00,0.1,0.0,0.0,0.0,0
75 0.010 0000   24  43 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),75,10,0,24,43,0.00,0.1,0.0,0.0,0.0,0
76 0.000 0000  121  23 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),76,0,0,121,23,0.00,0.1,0.0,0.0,0.0,0
79 0.028 0000   99  40 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),79,28,0,99,40,0.00,0.1,0.0,0.0,0.0,0
81 0.029 0000  121  17 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),81,29,0,121,17,0.00,0.1,0.0,0.0,0.0,0
95 0.034 0000  351  36 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),95,34,0,351,36,0.00,0.1,0.0,0.0,0.0,0
100 0.078 0000  229  13 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),100,78,0,229,13,0.00,0.1,0.0,0.0,0.0,0
104 0.035 0000  231  24 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),104,35,0,231,24,0.00,0.1,0.0,0.0,0.0,0
106 0.000 0000  173  37 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),106,0,0,173,37,0.00,0.1,0.0,0.0,0.0,0
121 0.047 0000   70  46 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),121,47,0,70,46,0.00,0.1,0.0,0.0,0.0,0
123 0.149 0000   83  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),123,149,0,83,16,0.00,0.1,0.0,0.0,0.0,0
136 0.073 0000   76  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),136,73,0,76,35,0.00,0.1,0.0,0.0,0.0,0
159 0.011 0000  139  63 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),159,11,0,139,63,0.00,0.1,0.0,0.0,0.0,0
160 0.019 0000  145  15 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),160,19,0,145,15,0.00,0.1,0.0,0.0,0.0,0
161 0.058 0000  327   8 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),161,58,0,327,8,0.00,0.1,0.0,0.0,0.0,0
162 0.017 0000  332  59 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),162,17,0,332,59,0.00,0.1,0.0,0.0,0.0,0
166 0.092 0000  284  10 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),166,92,0,284,10,0.00,0.1,0.0,0.0,0.0,0
169 0.012 0000   95  42 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),169,12,0,95,42,0.00,0.1,0.0,0.0,0.0,0
170 0.096 0000   63   3 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),170,96,0,63,3,0.00,0.1,0.0,0.0,0.0,0
175 0.000 0000  186  47 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),175,0,0,186,47,0.00,0.1,0.0,0.0,0.0,0
176 0.352 0000   22   1 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),176,352,0,22,1,0.00,0.1,0.0,0.0,0.0,0
226 0.071 0000  221  12 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),226,71,0,221,12,0.00,0.1,0.0,0.0,0.0,0
227 0.057 0000  339  15 0.00  0.1  0.0 0.0 0.0 0,2026-01-23,Vitória da Conquista (BA),227,57,0,339,15,0.00,0.1,0.0,0.0,0.0,0
5 0.245 0000  258  18 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),5,245,0,258,18,0.00,0.1,0.0,0.0,0.0,0
6 0.080 0000  353   4 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),6,80,0,353,4,0.00,0.1,0.0,0.0,0.0,0
7 0.093 0000  117  31 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),7,93,0,117,31,0.00,0.1,0.0,0.0,0.0,0
9 0.000 0000   37  29 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),9,0,0,37,29,0.00,0.1,0.0,0.0,0.0,0
13 0.000 0000  213  20 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),13,0,0,213,20,0.00,0.1,0.0,0.0,0.0,0
14 0.000 0000  199  57 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),14,0,0,199,57,0.00,0.1,0.0,0.0,0.0,0
17 0.000 0000   18  54 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),17,0,0,18,54,0.00,0.1,0.0,0.0,0.0,0
19 0.043 0000  356  36 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),19,43,0,356,36,0.00,0.1,0.0,0.0,0.0,0
21 0.140 0000  288  31 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),21,140,0,288,31,0.00,0.1,0.0,0.0,0.0,0
22 0.037 0000  241  60 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),22,37,0,241,60,0.00,0.1,0.0,0.0,0.0,0
30 0.016 0000  156  44 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),30,16,0,156,44,0.00,0.1,0.0,0.0,0.0,0
41 0.020 0000   11  40 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),41,20,0,11,40,0.00,0.1,0.0,0.0,0.0,0
42 0.016 0000  267  76 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),42,16,0,267,76,0.00,0.1,0.0,0.0,0.0,0
43 0.033 0000  212  28 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),43,33,0,212,28,0.00,0.1,0.0,0.0,0.0,0
46 0.103 0000  278   6 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),46,103,0,278,6,0.00,0.1,0.0,0.0,0.0,0
52 0.030 0000  168  25 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),52,30,0,168,25,0.00,0.1,0.0,0.0,0.0,0
53 0.036 0000  230  33 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),53,36,0,230,33,0.00,0.1,0.0,0.0,0.0,0
54 0.043 0000   91  18 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),54,43,0,91,18,0.00,0.1,0.0,0.0,0.0,0
55 0.062 0000   43  17 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),55,62,0,43,17,0.00,0.1,0.0,0.0,0.0,0
77 0.025 0000  100  76 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),77,25,0,100,76,0.00,0.1,0.0,0.0,0.0,0
78 0.019 0000   47  28 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),78,19,0,47,28,0.00,0.1,0.0,0.0,0.0,0
83 0.713 0000    5   6 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),83,713,0,5,6,0.00,0.1,0.0,0.0,0.0,0
85 0.158 0000   53   3 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),85,158,0,53,3,0.00,0.1,0.0,0.0,0.0,0
91 0.035 0000  293  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),91,35,0,293,35,0.00,0.1,0.0,0.0,0.0,0
97 0.000 0000  211  65 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),97,0,0,211,65,0.00,0.1,0.0,0.0,0.0,0
99 0.015 0000  209  39 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),99,15,0,209,39,0.00,0.1,0.0,0.0,0.0,0
100 0.013 0000  150  28 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),100,13,0,150,28,0.00,0.1,0.0,0.0,0.0,0
121 0.028 0000   70  46 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),121,28,0,70,46,0.00,0.1,0.0,0.0,0.0,0
123 0.000 0000   83  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),123,0,0,83,16,0.00,0.1,0.0,0.0,0.0,0
136 0.081 0000   76  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),136,81,0,76,35,0.00,0.1,0.0,0.0,0.0,0
151 0.037 0000   62  32 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),151,37,0,62,32,0.00,0.1,0.0,0.0,0.0,0
163 0.049 0000  236  34 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),163,49,0,236,34,0.00,0.1,0.0,0.0,0.0,0
164 0.069 0000  122   7 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),164,69,0,122,7,0.00,0.1,0.0,0.0,0.0,0
165 0.020 0000  173  40 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),165,20,0,173,40,0.00,0.1,0.0,0.0,0.0,0
168 0.711 0000  340   2 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),168,711,0,340,2,0.00,0.1,0.0,0.0,0.0,0
172 0.056 0000  222  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),172,56,0,222,16,0.00,0.1,0.0,0.0,0.0,0
173 0.020 0000    0  44 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),173,20,0,0,44,0.00,0.1,0.0,0.0,0.0,0
174 0.038 0000   93  29 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),174,38,0,93,29,0.00,0.1,0.0,0.0,0.0,0
177 0.303 0000  274   1 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),177,303,0,274,1,0.00,0.1,0.0,0.0,0.0,0
223 0.011 0000  270  60 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),223,11,0,270,60,0.00,0.1,0.0,0.0,0.0,0
225 0.017 0000   28  33 0.00  0.1  0.0 0.0 0.0 0,2026-01-24,Vitória da Conquista (BA),225,17,0,28,33,0.00,0.1,0.0,0.0,0.0,0
5 0.000 0000  260  18 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),5,0,0,260,18,0.00,0.1,0.0,0.0,0.0,0
6 0.762 0000  354   4 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),6,762,0,354,4,0.00,0.1,0.0,0.0,0.0,0
7 0.056 0000  115  30 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),7,56,0,115,30,0.00,0.1,0.0,0.0,0.0,0
9 0.476 0000   36  28 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),9,476,0,36,28,0.00,0.1,0.0,0.0,0.0,0
13 0.000 0000  213  22 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),13,0,0,213,22,0.00,0.1,0.0,0.0,0.0,0
14 0.000 0000  197  56 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),14,0,0,197,56,0.00,0.1,0.0,0.0,0.0,0
17 0.025 0000   20  56 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),17,25,0,20,56,0.00,0.1,0.0,0.0,0.0,0
19 0.188 0000  357  38 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),19,188,0,357,38,0.00,0.1,0.0,0.0,0.0,0
21 0.059 0000  290  31 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),21,59,0,290,31,0.00,0.1,0.0,0.0,0.0,0
22 0.000 0000  237  59 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),22,0,0,237,59,0.00,0.1,0.0,0.0,0.0,0
30 0.034 0000  154  44 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),30,34,0,154,44,0.00,0.1,0.0,0.0,0.0,0
42 0.518 0000   12  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),42,518,0,12,35,0.00,0.1,0.0,0.0,0.0,0
43 0.011 0000  284  75 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),43,11,0,284,75,0.00,0.1,0.0,0.0,0.0,0
44 0.022 0000  212  24 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),44,22,0,212,24,0.00,0.1,0.0,0.0,0.0,0
46 0.026 0000  230  32 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),46,26,0,230,32,0.00,0.1,0.0,0.0,0.0,0
47 0.205 0000  274  10 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),47,205,0,274,10,0.00,0.1,0.0,0.0,0.0,0
53 0.053 0000  167  24 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),53,53,0,167,24,0.00,0.1,0.0,0.0,0.0,0
55 0.068 0000   98  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),55,68,0,98,16,0.00,0.1,0.0,0.0,0.0,0
56 0.048 0000   45  18 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),56,48,0,45,18,0.00,0.1,0.0,0.0,0.0,0
72 0.022 0000  258  60 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),72,22,0,258,60,0.00,0.1,0.0,0.0,0.0,0
73 0.014 0000  184  72 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),73,14,0,184,72,0.00,0.1,0.0,0.0,0.0,0
75 0.000 0000   52  48 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),75,0,0,52,48,0.00,0.1,0.0,0.0,0.0,0
78 0.000 0000  213  21 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),78,0,0,213,21,0.00,0.1,0.0,0.0,0.0,0
95 0.022 0000  161  43 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),95,22,0,161,43,0.00,0.1,0.0,0.0,0.0,0
100 0.058 0000  302  17 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),100,58,0,302,17,0.00,0.1,0.0,0.0,0.0,0
104 0.185 0000  348   4 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),104,185,0,348,4,0.00,0.1,0.0,0.0,0.0,0
106 0.142 0000   35   6 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),106,142,0,35,6,0.00,0.1,0.0,0.0,0.0,0
121 0.000 0000   70  46 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),121,0,0,70,46,0.00,0.1,0.0,0.0,0.0,0
123 0.079 0000   83  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),123,79,0,83,16,0.00,0.1,0.0,0.0,0.0,0
136 0.038 0000   76  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),136,38,0,76,35,0.00,0.1,0.0,0.0,0.0,0
151 0.980 0000    1  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),151,980,0,1,16,0.00,0.1,0.0,0.0,0.0,0
154 0.011 0000  311  62 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),154,11,0,311,62,0.00,0.1,0.0,0.0,0.0,0
161 0.363 0000   24   5 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),161,363,0,24,5,0.00,0.1,0.0,0.0,0.0,0
164 0.020 0000  173  41 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),164,20,0,173,41,0.00,0.1,0.0,0.0,0.0,0
165 0.031 0000  244  27 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),165,31,0,244,27,0.00,0.1,0.0,0.0,0.0,0
166 0.067 0000  128  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),166,67,0,128,16,0.00,0.1,0.0,0.0,0.0,0
173 0.017 0000  257  54 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),173,17,0,257,54,0.00,0.1,0.0,0.0,0.0,0
174 1.051 0000   24  32 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),174,1.051,0,24,32,0.00,0.1,0.0,0.0,0.0,0
175 0.114 0000  127   6 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),175,114,0,127,6,0.00,0.1,0.0,0.0,0.0,0
223 0.070 0000  222  13 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),223,70,0,222,13,0.00,0.1,0.0,0.0,0.0,0
224 0.014 0000  356  46 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),224,14,0,356,46,0.00,0.1,0.0,0.0,0.0,0
225 0.468 0000  339   2 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),225,468,0,339,2,0.00,0.1,0.0,0.0,0.0,0
226 0.031 0000   88  32 0.00  0.1  0.0 0.0 0.0 0,2026-01-25,Vitória da Conquista (BA),226,31,0,88,32,0.00,0.1,0.0,0.0,0.0,0
5 1.085 0000  262  18 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),5,1.085,0,262,18,0.00,0.1,0.0,0.0,0.0,0
6 0.204 0000  356   5 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),6,204,0,356,5,0.00,0.1,0.0,0.0,0.0,0
7 0.000 0000  113  30 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),7,0,0,113,30,0.00,0.1,0.0,0.0,0.0,0
9 0.000 0000   35  26 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),9,0,0,35,26,0.00,0.1,0.0,0.0,0.0,0
13 0.000 0000  213  24 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),13,0,0,213,24,0.00,0.1,0.0,0.0,0.0,0
14 0.000 0000  194  55 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),14,0,0,194,55,0.00,0.1,0.0,0.0,0.0,0
17 0.023 0000   21  58 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),17,23,0,21,58,0.00,0.1,0.0,0.0,0.0,0
19 1.017 0000  357  39 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),19,1.017,0,357,39,0.00,0.1,0.0,0.0,0.0,0
21 0.069 0000  292  30 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),21,69,0,292,30,0.00,0.1,0.0,0.0,0.0,0
22 0.000 0000  233  59 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),22,0,0,233,59,0.00,0.1,0.0,0.0,0.0,0
30 0.000 0000  151  44 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),30,0,0,151,44,0.00,0.1,0.0,0.0,0.0,0
43 0.145 0000   11  31 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),43,145,0,11,31,0.00,0.1,0.0,0.0,0.0,0
44 0.000 0000  269  72 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),44,0,0,269,72,0.00,0.1,0.0,0.0,0.0,0
45 0.056 0000  213  26 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),45,56,0,213,26,0.00,0.1,0.0,0.0,0.0,0
46 0.041 0000  166  25 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),46,41,0,166,25,0.00,0.1,0.0,0.0,0.0,0
47 0.026 0000  222  33 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),47,26,0,222,33,0.00,0.1,0.0,0.0,0.0,0
48 0.493 0000  272  11 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),48,493,0,272,11,0.00,0.1,0.0,0.0,0.0,0
56 0.060 0000  100  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),56,60,0,100,16,0.00,0.1,0.0,0.0,0.0,0
57 0.056 0000   47  19 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),57,56,0,47,19,0.00,0.1,0.0,0.0,0.0,0
58 0.266 0000    4   2 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),58,266,0,4,2,0.00,0.1,0.0,0.0,0.0,0
74 0.019 0000   64  68 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),74,19,0,64,68,0.00,0.1,0.0,0.0,0.0,0
75 0.173 0000  217   4 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),75,173,0,217,4,0.00,0.1,0.0,0.0,0.0,0
76 0.016 0000  171  77 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),76,16,0,171,77,0.00,0.1,0.0,0.0,0.0,0
79 0.027 0000  204  53 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),79,27,0,204,53,0.00,0.1,0.0,0.0,0.0,0
80 0.315 0000  354   5 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),80,315,0,354,5,0.00,0.1,0.0,0.0,0.0,0
82 0.471 0000   16   7 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),82,471,0,16,7,0.00,0.1,0.0,0.0,0.0,0
89 0.081 0000   43  14 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),89,81,0,43,14,0.00,0.1,0.0,0.0,0.0,0
93 0.059 0000  145  17 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),93,59,0,145,17,0.00,0.1,0.0,0.0,0.0,0
